,relationRT,relationOrange,relationBlue,relationOrangeBlue,expRT,expOrange,expBlue,expBoth,intention1RT,intention1,intention2RT,intention2,desireRT,desire,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionOrange,attentionBlue,attentionBulb,id,language,age,gender,condition,totalRT,flat,intentionMean,relationBlueNorm,relationOrangeNorm,relationOrangeBlueNorm,max,expBlueNorm,expOrangeNorm,expBothNorm,expectationMax
1,15.246,9,1,5,8.955,9,9,3,3.589,9,3.52,9,3.072,9,4.264,3,3.079,1,7.238,2,11.102,0,0,1,5f22f7cf950b7403b88e8deb,Spanish,24,Female,condition 1,2.331516667,FALSE,9,0.066666667,0.6,0.333333333,15,0.428571429,0.428571429,0.142857143,21
2,15.546,8,3,8,12.504,4,9,4,4.512,6,3.62,9,3.521,9,4.524,5,7.033,2,6.616,2,7.956,0,0,1,608186dfc368e926ac75f982,Spanish,25,Other,condition 1,2.859166667,FALSE,7.5,0.157894737,0.421052632,0.421052632,19,0.529411765,0.235294118,0.235294118,17
3,29.857,5,2,7,18.226,6,6,3,7.338,7,5.295,6,4.408,7,5.06,8,4.776,2,9.445,2,16.244,0,0,1,5e6eee3b59a3bd4ab98f849e,English,32,Male,condition 2,3.442766667,FALSE,6.5,0.142857143,0.357142857,0.5,14,0.4,0.4,0.2,15
4,12.793,9,1,1,12.618,1,1,1,4.282,9,6.132,5,6.597,1,6.062,8,4.727,1,9.96,2,11.324,0,0,1,6065db5d25d3846dd15edfff,portuguese,24,Other,condition 2,2.643216667,FALSE,7,0.090909091,0.818181818,0.090909091,11,0.333333333,0.333333333,0.333333333,3
5,16.309,9,1,5,9.179,9,9,9,4.045,8,3.828,9,5.089,9,4.927,1,4.168,6,14.684,2,13.156,0,0,1,5954f88f09a2890001b512ac,Estonian,35,Female,condition 1,2.990816667,FALSE,8.5,0.066666667,0.6,0.333333333,15,0.333333333,0.333333333,0.333333333,27
6,22.372,1,5,7,27.895,6,4,3,5.888,4,3.221,6,4.361,7,4.143,5,7.442,2,10.921,2,14,0,0,1,5d80a878ec33500001aaaa94,estonian,27,Female,condition 2,3.608483333,FALSE,5,0.384615385,0.076923077,0.538461538,13,0.307692308,0.461538462,0.230769231,13
7,14.137,9,1,1,13.448,5,9,7,3.982,9,3,9,3.204,9,6.191,4,4.504,1,6.548,2,8.165,0,0,1,5f3175dfe3807d01460c9eb0,English,32,NA,condition 1,2.63265,FALSE,9,0.090909091,0.818181818,0.090909091,11,0.428571429,0.238095238,0.333333333,21
8,18.703,5,5,9,16.696,4,8,5,6.428,7,3.969,8,5.726,9,8.11,4,6.272,3,18.94,2,22.349,0,0,1,5f6132f075b3fa0ac649fd3c,italian,24,Female,condition 1,3.76415,FALSE,7.5,0.263157895,0.263157895,0.473684211,19,0.470588235,0.235294118,0.294117647,17
9,22.679,1,8,9,14.886,9,4,9,5.774,9,3.44,9,5.768,9,8.016,4,7.503,3,11.423,2,12.319,0,0,1,6152dbf7c8bec3e8acbb2d9b,N Sotho,22,Female,condition 1,3.534116667,FALSE,9,0.444444444,0.055555556,0.5,18,0.181818182,0.409090909,0.409090909,22
10,15.352,5,5,8,14.361,1,1,1,7.796,7,4.433,6,3.85,8,11.549,7,8.005,1,12.662,2,20.596,0,0,1,60fc39cce64c39328a7c8904,Polish,25,Male,condition 2,4.4992,FALSE,6.5,0.277777778,0.277777778,0.444444444,18,0.333333333,0.333333333,0.333333333,3
11,39.248,5,1,9,21.594,5,5,8,10.246,8,4.534,9,5.05,9,10.385,5,7.381,1,9.91,2,11.665,0,0,1,6107065e11b9baa9ea1e3300,Swedish,37,Male,condition 2,4.6034,FALSE,8.5,0.066666667,0.333333333,0.6,15,0.277777778,0.277777778,0.444444444,18
12,30.09,6,3,8,23.188,3,9,6,6.215,8,4.156,9,6.629,9,7.095,2,7.134,2,10.991,2,11.693,1,1,0,615168c285406a8d37bbb506,spanish,34,Male,condition 1,3.596466667,FALSE,8.5,0.176470588,0.352941176,0.470588235,17,0.5,0.166666667,0.333333333,18
