,relationRT,relationOneTwo,relationBlueOne,relationBlueTwo,expRT,expButton,exp1,exp2,desire1RT,desire1,desire2RT,desire2,knowledge1RT,knowledge1,attentionCheckRT,attentionCheck,attention1RT,attention1,attention2RT,attentionButton,attentionBulb1,attentionBulb2,id,language,age,gender,condition,totalRT,flat,intentionMean
2,22.254,1,1,9,14.542,1,9,1,3.99,9,2.136,1,4.44,1,6.029,1,8.826,2,11.615,0,0,1,5e03fdb2ac9e16edc91d0108,Spanish,35,Male,condition 1,3.068833333,FALSE,8
3,22.484,1,1,9,16.445,1,5,5,7.867,2,6.326,8,4.529,6,4.743,3,9.762,2,10.752,0,0,1,60cb69b6d48b320885fbc1ae,NA,55,Female,condition 2,3.199666667,FALSE,9
5,18.661,6,4,8,26.46,4,7,3,2.88,4,4.294,3,3.857,6,6.424,5,17.067,2,15.608,0,0,1,5fa548464d75e0232275d55e,Slovene,19,Male,condition 1,3.741516667,FALSE,6.5
9,33.194,5,5,8,13.91,1,8,3,6.763,9,4.645,3,4.961,5,7.396,6,18.264,2,12.814,0,0,1,5f98377006e2bc0b6d557b11,Portuguese,25,Female,condition 1,3.80275,FALSE,8.5
10,11.188,1,1,9,8.241,1,1,9,5.202,2,7.794,7,5.116,8,7.361,1,7.875,2,7.387,0,0,1,5eefd6f33fe1d00dd32739d9,Portuguese,25,Male,condition 2,2.524983333,FALSE,9
12,20.427,5,8,8,15.456,1,7,2,4.53,6,7.41,1,6.738,5,5.656,2,7.905,2,12.05,0,0,1,5ef7d536bd27420f7e9d768a,italian,32,Female,condition 1,3.40775,FALSE,7.5
15,38.844,3,3,9,17.141,2,5,5,4.132,7,2.565,7,6.993,6,4.483,4,15.501,2,9.459,0,0,1,60fd12b7c6659dbf9040ae31,English,27,Female,condition 2,4.386,FALSE,7.5
16,25.444,3,2,9,10.801,1,6,9,4.879,6,3.024,6,5.248,9,6.007,1,11.083,2,9.961,0,0,1,5fdf4ff8b112b67125e0b2b1,Portuguese,20,Female,condition 2,3.509283333,FALSE,8
17,16.433,5,1,8,11.702,7,5,5,2.098,5,1.018,5,5.586,6,4.466,5,19.447,2,6.752,1,0,1,5ae5a589c67d830001ce8c73,Portuguese,67,Female,condition 2,3.336083333,FALSE,7.5
18,37.214,2,2,8,16.947,1,3,6,2.821,3,4.711,7,4.41,7,4.937,1,12.129,2,11.213,0,0,1,6081492e0fd61ab5685a689a,hungarian,20,Male,condition 2,3.432166667,FALSE,7.5
